"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 27 01:54:01 CEST 2023","Fri Oct 27 01:54:05 CEST 2023","4336","","","Login Tests","","","Successful login",""
"passed","Fri Oct 27 01:54:05 CEST 2023","Fri Oct 27 01:54:09 CEST 2023","3987","","","Login Tests","","","Failed login",""
